Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,7,1.65900758166465
20200228,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,53,2.58822299934025
20200228,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,2,1.4515262798833
20200228,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,9,5.25118151584106
20200228,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,20,2.77593486546432
20200228,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,24,3.10083528750557
20200228,S92000003,Female,"",60+,"",0,0,0,0,0,0,14,1.86031678537259
20200228,S92000003,Female,"",65 to 74,"",0,0,0,0,0,0,3,0.995021575384493
20200228,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,1,0.523494430019265
20200228,S92000003,Female,"",85plus,"",0,0,0,0,0,0,1,1.21663381755359
20200228,S92000003,Female,"",Total,d,0,0,0,0,0,0,67,2.39260335600117
20200228,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,13,2.92947183876187
20200228,S92000003,Male,"",0 to 59,"",1,1,0.0493406850954126,0,0,0,54,2.66439699515228
20200228,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,2,1.38723191743196
20200228,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,3,1.70390648961185
20200228,S92000003,Male,"",25 to 44,"",0,0,0,0,0,0,17,2.41754053646647
20200228,S92000003,Male,"",45 to 64,"",1,1,0.137669178211375,0,0,0,19,2.61571438601612
20200228,S92000003,Male,"",60+,"",0,0,0,0,0,0,13,2.04313209006126
20200228,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,12,4.33527577773041
20200228,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,1,0.67689225229128
20200228,S92000003,Male,"",85plus,"",0,0,0,0,0,0,0,0
20200228,S92000003,Male,"",Total,d,1,1,0.0375515911923494,0,0,0,67,2.51595660988741
20200228,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,20,2.3102558030738
20200228,S92000003,Total,d,0 to 59,"",1,1,0.0245431175944211,0,0,0,107,2.62611358260305
20200228,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,4,1.41865100475957
20200228,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,12,3.45367470989132
20200228,S92000003,Total,d,25 to 44,"",0,0,0,0,0,0,38,2.6691541310077
20200228,S92000003,Total,d,45 to 64,"",1,1,0.0666504928137439,0,0,0,43,2.86597119099099
20200228,S92000003,Total,d,60+,"",0,0,0,0,0,0,27,1.9440712307699
20200228,S92000003,Total,d,65 to 74,"",0,0,0,0,0,0,15,2.59380944146637
20200228,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,2,0.590391961223056
20200228,S92000003,Total,d,85plus,"",0,0,0,0,0,0,1,0.786862542982366
20200228,S92000003,Total,d,Total,d,1,1,0.0183039554847803,0,0,0,135,2.47103399044533
20200229,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,14,3.3180151633293
20200229,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,75,3.66257971604752
20200229,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,3,2.17728941982495
20200229,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,11,6.41811074158352
20200229,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,26,3.60871532510361
20200229,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,31,4.0052455796947
20200229,S92000003,Female,"",60+,"",0,0,0,0,0,0,24,3.18911448921016
20200229,S92000003,Female,"",65 to 74,"",0,0,0,0,0,0,7,2.32171700923048
20200229,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,5,2.61747215009632
20200229,S92000003,Female,"",85plus,"",0,0,0,0,0,0,2,2.43326763510719
20200229,S92000003,Female,"",Total,d,0,0,0,0,0,0,99,3.5353392872256
