Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S92000003,1,0,0,0,0,0,0,67,6.17761472153249
20200228,S92000003,2,0,0,0,0,0,0,107,9.86817228537648
20200228,S92000003,3,0,0,0,0,0,0,152,13.9863871965667
20200228,S92000003,4,1,1,0.0912647746262023,0,0,0,210,19.1656026715025
20200228,S92000003,5,0,0,0,0,0,0,210,19.3234759068461
20200229,S92000003,1,0,0,0,0,0,0,83,7.65286599831637
20200229,S92000003,2,0,0,0,0,0,0,118,10.8826572866769
20200229,S92000003,3,0,0,0,0,0,0,158,14.5384814280101
20200229,S92000003,4,0,1,0.0912647746262023,0,0,0,230,20.9908981640265
20200229,S92000003,5,0,0,0,0,0,0,224,20.6117076339692
20200301,S92000003,1,0,0,0,0,0,0,100,9.22032047989924
20200301,S92000003,2,0,0,0,0,0,0,126,11.6204645603499
20200301,S92000003,3,1,1,0.0920157052405705,0,0,0,169,15.5506541856564
20200301,S92000003,4,0,1,0.0912647746262023,0,0,0,239,21.8122811356623
20200301,S92000003,5,1,1,0.0920165519373625,0,0,0,251,23.096154536278
20200302,S92000003,1,0,0,0,0,0,0,146,13.4616679006529
20200302,S92000003,2,0,0,0,0,0,0,162,14.9405972918784
20200302,S92000003,3,0,1,0.0920157052405705,0,0,0,205,18.8632195743169
20200302,S92000003,4,1,2,0.182529549252405,0,0,0,275,25.0978130222056
20200302,S92000003,5,0,1,0.0920165519373625,0,0,0,304,27.9730317889582
20200303,S92000003,1,0,0,0,0,0,0,203,18.7172505741955
20200303,S92000003,2,0,0,0,0,0,0,204,18.8140854786617
20200303,S92000003,3,0,1,0.0920157052405705,0,0,0,247,22.7278791944209
20200303,S92000003,4,2,4,0.365059098504809,0,0,0,312,28.4746096833751
20200303,S92000003,5,1,2,0.184033103874725,0,0,0,346,31.8377269703274
20200304,S92000003,1,0,0,0,0,0,0,248,22.8663947901501
20200304,S92000003,2,1,1,0.0922259092091259,0,0,0,240,22.1342182101902
20200304,S92000003,3,1,2,0.184031410481141,0,0,0,283,26.0404445830814
20200304,S92000003,4,1,5,0.456323873131011,0,0,0,340,31.0300233729088
20200304,S92000003,5,3,5,0.460082759686812,0,0,0,386,35.5183890478219
20200305,S92000003,1,1,1,0.0922032047989924,0,0,0,300,27.6609614396977
20200305,S92000003,2,0,1,0.0922259092091259,0,0,0,281,25.9154804877644
20200305,S92000003,3,0,2,0.184031410481141,0,0,0,312,28.708900035058
20200305,S92000003,4,1,6,0.547588647757214,0,0,0,374,34.1330257101997
20200305,S92000003,5,0,5,0.460082759686812,0,0,0,418,38.4629187098175
20200306,S92000003,1,0,1,0.0922032047989924,0,0,0,347,31.9945120652504
20200306,S92000003,2,1,2,0.184451818418252,0,0,0,315,29.0511614008747
20200306,S92000003,3,0,2,0.184031410481141,0,0,0,355,32.6655753604025
20200306,S92000003,4,4,10,0.912647746262023,0,0,0,414,37.7836166952478
20200306,S92000003,5,1,6,0.552099311624175,0,0,0,463,42.6036635469988
20200307,S92000003,1,0,1,0.0922032047989924,0,0,0,369,34.0229825708282
20200307,S92000003,2,0,2,0.184451818418252,0,0,0,346,31.9101645863576
20200307,S92000003,3,1,3,0.276047115721711,0,0,0,381,35.0579836966573
20200307,S92000003,4,3,13,1.18644207014063,0,0,0,438,39.9739712862766
20200307,S92000003,5,2,8,0.7361324154989,0,0,0,492,45.2721435531823
20200308,S92000003,1,0,1,0.0922032047989924,0,0,0,399,36.789078714798
20200308,S92000003,2,0,2,0.184451818418252,0,0,0,371,34.2158123165857
20200308,S92000003,3,0,3,0.276047115721711,0,0,0,405,37.266360622431
20200308,S92000003,4,1,14,1.27770684476683,0,0,0,456,41.6167372295482
20200308,S92000003,5,2,10,0.920165519373625,0,0,0,512,47.1124745919296
20200309,S92000003,1,1,2,0.184406409597985,0,0,0,452,41.6758485691446
20200309,S92000003,2,1,3,0.276677727627378,0,0,0,429,39.564915050715
20200309,S92000003,3,2,5,0.460078526202852,0,0,0,456,41.9591615897001
20200309,S92000003,4,7,21,1.91656026715025,0,0,0,520,47.4576828056252
20200309,S92000003,5,4,14,1.28823172712307,0,0,0,587,54.0137159872318
20200310,S92000003,1,0,2,0.184406409597985,0,0,0,533,49.144308157863
20200310,S92000003,2,4,7,0.645581364463881,0,0,0,512,47.2196655150725
20200310,S92000003,3,2,7,0.644109936683993,0,0,0,529,48.6763080722618
20200310,S92000003,4,9,30,2.73794323878607,0,0,0,595,54.3025409025904
20200310,S92000003,5,6,20,1.84033103874725,0,0,0,657,60.4548746228472
20200311,S92000003,1,2,4,0.36881281919597,0,0,0,639,58.9178478665562
20200311,S92000003,2,1,8,0.737807273673008,0,0,0,599,55.2433196162664
20200311,S92000003,3,5,12,1.10418846288685,0,0,0,621,57.1417529543943
20200311,S92000003,4,7,37,3.37679666116949,0,0,0,670,61.1473989995555
20200311,S92000003,5,10,30,2.76049655812087,0,0,0,738,67.9082153297735
20200312,S92000003,1,7,11,1.01423525278892,0,0,0,773,71.2730773096211
20200312,S92000003,2,2,10,0.922259092091259,0,0,0,709,65.3881696292703
20200312,S92000003,3,8,20,1.84031410481141,0,0,0,719,66.1592920679702
20200312,S92000003,4,5,42,3.8331205343005,0,0,0,766,69.908817363671
20200312,S92000003,5,16,46,4.23276138911868,0,0,0,847,77.938019490946
20200313,S92000003,1,6,17,1.56745448158287,0,0,0,903,83.2594939334901
20200313,S92000003,2,6,16,1.47561454734602,0,0,0,819,75.5330196422742
20200313,S92000003,3,7,27,2.4844240414954,0,0,0,823,75.7289254129895
20200313,S92000003,4,15,57,5.20209215369353,0,0,0,863,78.7615005024126
20200313,S92000003,5,13,59,5.42897656430439,0,0,0,961,88.4279064118054
20200314,S92000003,1,5,22,2.02847050557783,1,1,0.0922032047989924,1008,92.9408304373843
20200314,S92000003,2,5,21,1.93674409339164,0,0,0,896,82.6344146513768
20200314,S92000003,3,1,28,2.57643974673597,0,0,0,891,81.9859933693483
20200314,S92000003,4,6,63,5.74968080145074,1,1,0.0912647746262023,917,83.6897983322275
20200314,S92000003,5,2,61,5.61300966817911,0,0,0,1003,92.2926015931746
20200315,S92000003,1,2,24,2.21287691517582,0,1,0.0922032047989924,1100,101.423525278892
20200315,S92000003,2,2,23,2.1211959118099,0,0,0,955,88.0757432947153
20200315,S92000003,3,3,31,2.85248686245768,0,0,0,941,86.5867786313768
20200315,S92000003,4,0,63,5.74968080145074,0,1,0.0912647746262023,960,87.6141836411542
20200315,S92000003,5,5,66,6.07309242786592,0,0,0,1040,95.697214014857
20200316,S92000003,1,5,29,2.67389293917078,0,1,0.0922032047989924,1246,114.885193179545
20200316,S92000003,2,4,27,2.4900995486464,0,0,0,1054,97.2061083064187
20200316,S92000003,3,5,36,3.31256538866054,1,1,0.0920157052405705,1036,95.328270629231
20200316,S92000003,4,2,65,5.93221035070315,0,1,0.0912647746262023,1050,95.8280133575124
20200316,S92000003,5,5,71,6.53317518755274,0,0,0,1121,103.150554721783
20200317,S92000003,1,9,38,3.50372178236171,0,1,0.0922032047989924,1392,128.346861080197
20200317,S92000003,2,10,37,3.41235864073766,1,1,0.0922259092091259,1173,108.180991502305
20200317,S92000003,3,5,41,3.77264391486339,0,1,0.0920157052405705,1137,104.621856858529
20200317,S92000003,4,6,71,6.47979899846036,0,1,0.0912647746262023,1148,104.77196127088
20200317,S92000003,5,13,84,7.72939036273845,1,1,0.0920165519373625,1232,113.364391986831
20200318,S92000003,1,11,49,4.51795703515063,0,1,0.0922032047989924,1510,139.226839246479
20200318,S92000003,2,7,44,4.05794000520154,0,1,0.0922259092091259,1294,119.340326516609
20200318,S92000003,3,4,45,4.14070673582567,0,1,0.0920157052405705,1245,114.55955302451
20200318,S92000003,4,9,80,7.30118197009618,0,1,0.0912647746262023,1241,113.259585311117
20200318,S92000003,5,10,94,8.64955588211207,0,1,0.0920165519373625,1336,122.934113388316
20200319,S92000003,1,11,60,5.53219228793954,1,2,0.184406409597985,1646,151.766475099142
20200319,S92000003,2,10,54,4.9801990972928,1,2,0.184451818418252,1423,131.237468804586
20200319,S92000003,3,9,54,4.9688480829908,0,1,0.0920157052405705,1380,126.981673231987
20200319,S92000003,4,9,89,8.122564941732,0,1,0.0912647746262023,1353,123.481240069252
20200319,S92000003,5,9,103,9.47770484954834,1,2,0.184033103874725,1448,133.239967205301
20200320,S92000003,1,10,70,6.45422433592947,3,5,0.461016023994962,1756,161.908827627031
20200320,S92000003,2,12,66,6.08691000780231,1,3,0.276677727627378,1530,141.105641089963
20200320,S92000003,3,23,77,7.08520930352392,0,1,0.0920157052405705,1517,139.587824849945
20200320,S92000003,4,20,109,9.94786043425605,1,2,0.182529549252405,1476,134.706807348275
20200320,S92000003,5,17,120,11.0419862324835,0,2,0.184033103874725,1563,143.821870678098
20200321,S92000003,1,6,76,7.00744356472342,2,7,0.645422433592947,1861,171.590164130925
20200321,S92000003,2,14,80,7.37807273673007,1,4,0.368903636836504,1619,149.313747009575
20200321,S92000003,3,15,92,8.46544488213248,1,2,0.184031410481141,1600,147.225128384913
20200321,S92000003,4,11,120,10.9517729551443,1,3,0.273794323878607,1566,142.920637064633
20200321,S92000003,5,20,140,12.8823172712307,1,3,0.276049655812087,1643,151.183194833087
20200322,S92000003,1,11,87,8.02167881751234,0,7,0.645422433592947,1951,179.888452562834
20200322,S92000003,2,14,94,8.66923546565784,2,6,0.553355455254756,1708,157.521852929187
20200322,S92000003,3,15,107,9.84568046074104,0,2,0.184031410481141,1662,152.930102109828
20200322,S92000003,4,14,134,12.2294797999111,1,4,0.365059098504809,1640,149.674230386972
20200322,S92000003,5,18,158,14.5386152061033,2,5,0.460082759686812,1704,156.796204501266
20200323,S92000003,1,25,112,10.3267589374871,1,8,0.737625638391939,2070,190.860633933914
20200323,S92000003,2,32,126,11.6204645603499,1,7,0.645581364463881,1834,169.142317489537
20200323,S92000003,3,30,137,12.6061516179582,1,3,0.276047115721711,1797,165.352222317305
20200323,S92000003,4,17,151,13.7809809685565,0,4,0.365059098504809,1769,161.447386313752
20200323,S92000003,5,31,189,17.3911283161615,1,6,0.552099311624175,1806,166.181892798877
20200324,S92000003,1,33,145,13.3694646958539,1,9,0.829828843190932,2218,204.506708244165
20200324,S92000003,2,35,161,14.8483713826693,3,10,0.922259092091259,1965,181.223911595932
20200324,S92000003,3,25,162,14.9065442489724,1,4,0.368062820962282,1937,178.234421050985
20200324,S92000003,4,30,181,16.5189242073426,1,5,0.456323873131011,1902,173.585601339037
20200324,S92000003,5,41,230,21.1638069455934,1,7,0.644115863561537,1968,181.088574212729
20200325,S92000003,1,42,187,17.2419992974116,1,10,0.922032047989924,2352,216.86193768723
20200325,S92000003,2,32,193,17.7996004773613,1,11,1.01448500130039,2082,192.0143429734
20200325,S92000003,3,33,195,17.9430625219112,4,8,0.736125641924564,2076,191.024604079424
20200325,S92000003,4,40,221,20.1695151923907,1,6,0.547588647757214,2062,188.187965279229
20200325,S92000003,5,34,264,24.2923697114637,4,11,1.01218207131099,2129,195.903239074645
20200326,S92000003,1,53,240,22.1287691517582,1,11,1.01423525278892,2499,230.415808792682
20200326,S92000003,2,38,231,21.3041850273081,4,15,1.38338863813689,2244,206.954940265279
20200326,S92000003,3,33,228,20.9795807948501,1,9,0.828141347165134,2223,204.550912749788
